tour_id,group,tour_name,item_id,item_name,variant,price,image_url
FRESHEST_2026,ICEx,ICEx Fourth Concert Tour 2026 ''FRESHest!!'',photo_set_vol30,PHOTO SET vol.30,,1000,https://icex.jp/s3/skiyaki/uploads/ckeditor/pictures/861324/content_ICEx_%E7%94%9F%E5%86%99%E7%9C%9F%E3%82%BB%E3%83%83%E3%83%88_vol.30%E4%B8%80%E8%A6%A7.jpg
FRESHEST_2026,ICEx,ICEx Fourth Concert Tour 2026 ''FRESHest!!'',photo_set_vol31,PHOTO SET vol.31,,1000,https://icex.jp/s3/skiyaki/uploads/ckeditor/pictures/861325/content_ICEx_%E7%94%9F%E5%86%99%E7%9C%9F%E3%82%BB%E3%83%83%E3%83%88_vol.31%E4%B8%80%E8%A6%A7.jpg
FRESHEST_2026,ICEx,ICEx Fourth Concert Tour 2026 ''FRESHest!!'',freshest_tshirt,FRESHest!! Tシャツ,M,3800,
FRESHEST_2026,ICEx,ICEx Fourth Concert Tour 2026 ''FRESHest!!'',freshest_tshirt,FRESHest!! Tシャツ,L,3800,
FRESHEST_2026,ICEx,ICEx Fourth Concert Tour 2026 ''FRESHest!!'',freshest_face_towel,FRESHest!! フェイスタオル,志賀李玖,2500,
FRESHEST_2026,ICEx,ICEx Fourth Concert Tour 2026 ''FRESHest!!'',freshest_face_towel,FRESHest!! フェイスタオル,中村旺太郎,2500,
FRESHEST_2026,ICEx,ICEx Fourth Concert Tour 2026 ''FRESHest!!'',freshest_face_towel,FRESHest!! フェイスタオル,阿久根温世,2500,
FRESHEST_2026,ICEx,ICEx Fourth Concert Tour 2026 ''FRESHest!!'',freshest_face_towel,FRESHest!! フェイスタオル,千田波空斗,2500,
FRESHEST_2026,ICEx,ICEx Fourth Concert Tour 2026 ''FRESHest!!'',freshest_face_towel,FRESHest!! フェイスタオル,筒井俊旭,2500,
FRESHEST_2026,ICEx,ICEx Fourth Concert Tour 2026 ''FRESHest!!'',freshest_face_towel,FRESHest!! フェイスタオル,山本龍人,2500,
